store_id,company_name,store_name,store_hours,inactive_dsps,ubereats_status,ubereats_since,doordash_status,doordash_since,grubhub_status,grubhub_since
f7e2bacb-bfde-437b-8344-33d52fa93ed0,Atlantis Management Group,Atlantis Fresh Market #118,12:00 AM - 11:59 PM EST,UberEats,Inactive,11/14/2024 09:12,Active,04/23/2025 12:43,Active,04/09/2025 13:25
20407212-3020-4a7c-a42d-c263fa6eeb97,Atlantis Management Group,Atlantis Fresh Market #156,12:00 AM - 11:59 PM EST,"UberEats, DoorDash",Inactive,11/22/2024 07:49,Inactive,11/22/2024 07:49,Not Connected,
f607f583-6e4a-45bb-82fb-c89df1a06edf,Atlantis Management Group,Atlantis Fresh Market #174,12:00 AM - 11:59 PM EST,UberEats,Inactive,11/22/2024 07:53,Active,04/23/2025 12:43,Active,04/10/2025 11:25
f6b278f4-a19f-4606-adbc-f31e9ed61a0a,Atlantis Management Group,Atlantis Fresh Market #189,12:00 AM - 11:59 PM EST,GrubHub,Active,05/01/2025 14:27,Active,04/23/2025 10:51,Inactive,05/01/2025 14:29
66a61f8f-da34-4c0d-981c-ac02e1fd230e,Atlantis Management Group,Atlantis Fresh Market #190,12:00 AM - 11:59 PM EST,UberEats,Inactive,11/22/2024 08:00,Active,04/23/2025 12:43,Active,04/15/2025 13:54
776c1128-f8ab-49ac-b46d-deee32f1b984,Atlantis Management Group,Atlantis Fresh Market #23,12:00 AM - 11:59 PM EST,GrubHub,Active,01/09/2025 02:14,Active,04/22/2025 16:56,Inactive,08/15/2024 14:02
5c3dd9bc-1204-4974-b16e-ba147eaeaf0d,Atlantis Management Group,Atlantis Fresh Market #511,12:00 AM - 11:59 PM EST,"UberEats, GrubHub",Inactive,11/22/2024 08:10,Active,04/23/2025 10:52,Inactive,05/01/2025 15:06
992afe64-283b-446b-a890-1a55e3c34b80,Atlantis Management Group,Atlantis Fresh Market #527,12:00 AM - 11:59 PM EST,"UberEats, GrubHub",Inactive,11/22/2024 08:21,Active,04/23/2025 20:56,Inactive,05/01/2025 14:44
be0a4df3-7289-4290-ad40-008400438df8,Atlantis Management Group,Atlantis Fresh Market #54,12:00 AM - 11:59 PM EST,UberEats,Inactive,11/22/2024 08:24,Active,04/23/2025 12:43,Active,04/15/2025 13:47
c6fdf182-c181-4041-9178-45c28df96835,Atlantis Management Group,Atlantis Fresh Market #73,12:00 AM - 11:59 PM EST,UberEats,Inactive,04/30/2025 00:20,Active,04/23/2025 10:49,Active,04/10/2025 14:46
